Yosemite://10.0.0.31:1606
17/05/03 16:23:41.261 INFO Slf4jLogger: Slf4jLogger started
17/05/03 16:28:16.071 INFO SlaveActor: 615.0 678.0
17/05/03 16:28:17.083 INFO SlaveActor: 615.0 773.0
17/05/03 16:28:18.072 INFO SlaveActor: 559.0 559.0
17/05/03 16:28:19.073 INFO SlaveActor: 671.0 773.0
17/05/03 16:28:20.072 INFO SlaveActor: 1499.0 4679.0
17/05/03 16:28:21.071 INFO SlaveActor: 9256.0 4980.0
17/05/03 16:28:22.082 INFO SlaveActor: 2869.0 926.0
17/05/03 16:28:23.072 INFO SlaveActor: 559.0 559.0
17/05/03 16:28:24.071 INFO SlaveActor: 733.0 559.0
17/05/03 16:28:25.082 INFO SlaveActor: 559.0 559.0
17/05/03 16:28:26.072 INFO SlaveActor: 559.0 559.0
17/05/03 16:28:27.072 INFO SlaveActor: 733.0 559.0
17/05/03 16:28:28.073 INFO SlaveActor: 774.0 773.0
17/05/03 16:28:29.073 INFO SlaveActor: 559.0 559.0
17/05/03 16:28:30.073 INFO SlaveActor: 1013.0 839.0
17/05/03 16:28:31.074 INFO SlaveActor: 1426.0 1660.0
17/05/03 16:28:32.073 INFO SlaveActor: 559.0 559.0
17/05/03 16:28:33.073 INFO SlaveActor: 733.0 613.0
17/05/03 16:28:34.073 INFO SlaveActor: 625.0 559.0
17/05/03 16:28:35.073 INFO SlaveActor: 1508.0 1508.0
17/05/03 16:28:36.073 INFO SlaveActor: 733.0 677.0
17/05/03 16:28:37.073 INFO SlaveActor: 1148.0 1179.0
17/05/03 16:28:38.074 INFO SlaveActor: 7574.0 2411.0
17/05/03 16:28:39.072 INFO SlaveActor: 1220.0 666.0
17/05/03 16:28:40.071 INFO SlaveActor: 721.0 666.0
17/05/03 16:28:41.083 INFO SlaveActor: 4826.0 2825.0
17/05/03 16:28:42.073 INFO SlaveActor: 6349.0 3213.0
17/05/03 16:28:43.074 INFO SlaveActor: 3883.0 2240.0
17/05/03 16:28:44.073 INFO SlaveActor: 671.0 678.0
17/05/03 16:28:45.072 INFO SlaveActor: 789.0 773.0
17/05/03 16:28:46.073 INFO SlaveActor: 671.0 1056.0
17/05/03 16:28:47.073 INFO SlaveActor: 857.0 654.0
17/05/03 16:28:48.073 INFO SlaveActor: 845.0 773.0
17/05/03 16:28:49.070 INFO SlaveActor: 559.0 3138.0
17/05/03 16:28:50.083 INFO SlaveActor: 3032.0 5350.0
17/05/03 16:28:51.072 INFO SlaveActor: 7253.0 2383.0
17/05/03 16:28:52.071 INFO SlaveActor: 559.0 559.0
17/05/03 16:28:53.082 INFO SlaveActor: 3855.0 2317.0
17/05/03 16:28:54.073 INFO SlaveActor: 1868.0 818.0
17/05/03 16:28:55.073 INFO SlaveActor: 1564.0 1508.0
17/05/03 16:28:56.071 INFO SlaveActor: 559.0 559.0
17/05/03 16:28:57.082 INFO SlaveActor: 559.0 559.0
17/05/03 16:28:58.073 INFO SlaveActor: 559.0 1161.0
17/05/03 16:28:59.071 INFO SlaveActor: 7024.0 1541.0
17/05/03 16:29:00.082 INFO SlaveActor: 559.0 559.0
17/05/03 16:29:01.074 INFO SlaveActor: 1092.0 1033.0
17/05/03 16:29:02.073 INFO SlaveActor: 559.0 559.0
17/05/03 16:29:03.073 INFO SlaveActor: 559.0 559.0
17/05/03 16:29:04.074 INFO SlaveActor: 559.0 559.0
17/05/03 16:29:05.071 INFO SlaveActor: 559.0 559.0
17/05/03 16:29:06.083 INFO SlaveActor: 929.0 1284.0
17/05/03 16:29:07.074 INFO SlaveActor: 733.0 559.0
17/05/03 16:29:08.073 INFO SlaveActor: 823.0 728.0
17/05/03 16:29:09.071 INFO SlaveActor: 615.0 678.0
17/05/03 16:29:10.082 INFO SlaveActor: 895.0 958.0
17/05/03 16:29:11.072 INFO SlaveActor: 4666.0 1690.0
17/05/03 16:29:12.072 INFO SlaveActor: 5283.0 2987.0
17/05/03 16:29:13.072 INFO SlaveActor: 1232.0 1924.0
17/05/03 16:29:14.073 INFO SlaveActor: 2277.0 1065.0
17/05/03 16:29:15.072 INFO SlaveActor: 1508.0 1508.0
17/05/03 16:29:16.072 INFO SlaveActor: 615.0 678.0
17/05/03 16:29:17.072 INFO SlaveActor: 559.0 559.0
17/05/03 16:29:18.071 INFO SlaveActor: 615.0 559.0
17/05/03 16:29:19.082 INFO SlaveActor: 559.0 559.0
17/05/03 16:29:20.072 INFO SlaveActor: 559.0 2914.0
17/05/03 16:29:21.072 INFO SlaveActor: 4199.0 4083.0
17/05/03 16:29:22.071 INFO SlaveActor: 8392.0 4569.0
17/05/03 16:29:23.083 INFO SlaveActor: 2978.0 1387.0
17/05/03 16:29:24.072 INFO SlaveActor: 559.0 559.0
17/05/03 16:29:25.073 INFO SlaveActor: 559.0 559.0
17/05/03 16:29:26.073 INFO SlaveActor: 559.0 559.0
17/05/03 16:29:27.072 INFO SlaveActor: 559.0 559.0
17/05/03 16:29:28.072 INFO SlaveActor: 559.0 559.0
17/05/03 16:29:29.072 INFO SlaveActor: 559.0 559.0
17/05/03 16:29:30.072 INFO SlaveActor: 839.0 1077.0
17/05/03 16:29:31.072 INFO SlaveActor: 10305.0 6677.0
17/05/03 16:29:32.071 INFO SlaveActor: 2558.0 2931.0
17/05/03 16:29:33.083 INFO SlaveActor: 706.0 700.0
17/05/03 16:29:34.072 INFO SlaveActor: 706.0 613.0
17/05/03 16:29:35.073 INFO SlaveActor: 1574.0 1554.0
17/05/03 16:29:36.073 INFO SlaveActor: 559.0 559.0
17/05/03 16:29:37.072 INFO SlaveActor: 559.0 559.0
17/05/03 16:29:38.073 INFO SlaveActor: 718.0 835.0
17/05/03 16:29:39.073 INFO SlaveActor: 852.0 856.0
17/05/03 16:29:40.072 INFO SlaveActor: 559.0 559.0
17/05/03 16:29:41.072 INFO SlaveActor: 897.0 1422.0
17/05/03 16:29:42.074 INFO SlaveActor: 9235.0 3374.0
17/05/03 16:29:43.072 INFO SlaveActor: 5059.0 4359.0
17/05/03 16:29:44.073 INFO SlaveActor: 3055.0 926.0
17/05/03 16:29:45.073 INFO SlaveActor: 615.0 678.0
17/05/03 16:29:46.072 INFO SlaveActor: 615.0 678.0
17/05/03 16:29:47.072 INFO SlaveActor: 615.0 559.0
17/05/03 16:29:48.073 INFO SlaveActor: 559.0 678.0
17/05/03 16:29:49.072 INFO SlaveActor: 615.0 559.0
17/05/03 16:29:50.073 INFO SlaveActor: 2914.0 7929.0
17/05/03 16:29:51.073 INFO SlaveActor: 7600.0 2502.0
17/05/03 16:29:52.072 INFO SlaveActor: 2642.0 1816.0
17/05/03 16:29:53.073 INFO SlaveActor: 2513.0 1556.0
17/05/03 16:29:54.071 INFO SlaveActor: 559.0 559.0
17/05/03 16:29:55.083 INFO SlaveActor: 1867.0 1608.0
17/05/03 16:29:56.073 INFO SlaveActor: 641.0 806.0
17/05/03 16:29:57.071 INFO SlaveActor: 681.0 645.0
17/05/03 16:29:58.083 INFO SlaveActor: 637.0 559.0
17/05/03 16:29:59.073 INFO SlaveActor: 559.0 559.0
17/05/03 16:30:00.073 INFO SlaveActor: 666.0 773.0
17/05/03 16:30:01.073 INFO SlaveActor: 896.0 914.0
17/05/03 16:30:02.073 INFO SlaveActor: 980.0 987.0
17/05/03 16:30:03.071 INFO SlaveActor: 769.0 843.0
17/05/03 16:30:04.081 INFO SlaveActor: 559.0 559.0
17/05/03 16:30:05.083 INFO SlaveActor: 718.0 767.0
17/05/03 16:30:06.073 INFO SlaveActor: 1082.0 1363.0
17/05/03 16:30:07.071 INFO SlaveActor: 671.0 621.0
17/05/03 16:30:08.084 INFO SlaveActor: 615.0 678.0
17/05/03 16:30:09.072 INFO SlaveActor: 615.0 678.0
17/05/03 16:30:10.071 INFO SlaveActor: 1069.0 958.0
17/05/03 16:30:11.083 INFO SlaveActor: 838.0 1327.0
17/05/03 16:30:12.073 INFO SlaveActor: 9111.0 3308.0
17/05/03 16:30:13.071 INFO SlaveActor: 1462.0 2334.0
17/05/03 16:30:14.073 INFO SlaveActor: 559.0 559.0
17/05/03 16:30:15.073 INFO SlaveActor: 3472.0 2619.0
17/05/03 16:30:16.073 INFO SlaveActor: 615.0 605.0
17/05/03 16:30:17.072 INFO SlaveActor: 1304.0 1042.0
17/05/03 16:30:18.073 INFO SlaveActor: 559.0 559.0
17/05/03 16:30:19.071 INFO SlaveActor: 715.0 775.0
